backend,attributes,runs,prove_or_present_ms_mean,prove_or_present_ms_std,verify_ms_mean,verify_ms_std,proof_bytes,vp_bytes,peak_rss_mb,cv_present_pct,cv_verify_pct
AnonCreds,4,50,89.19,3.89,85.68,3.16,18037.0,18037.0,285.35,4.36,3.69
AnonCreds,8,50,98.41,7.17,94.09,4.77,18803.5,18803.5,286.5,7.29,5.07
AnonCreds,16,50,111.5,7.42,108.05,7.99,20340.5,20340.5,290.96,6.65,7.39
AnonCreds,32,50,137.31,10.44,131.95,6.2,23419.5,23419.5,301.13,7.6,4.7
AnonCreds,64,50,190.44,6.7,186.45,8.24,29573.0,29573.0,286.62,3.52,4.42
BBS,4,50,74.88,5.68,51.58,2.88,447.0,477.0,144.37,7.59,5.58
BBS,8,50,94.64,4.93,57.95,4.93,576.0,606.0,144.38,5.21,8.51
BBS,16,50,141.16,11.86,68.47,4.37,833.0,863.0,144.39,8.4,6.38
BBS,32,50,215.92,7.44,88.84,6.15,1347.0,1377.0,151.16,3.45,6.92
BBS,64,50,377.45,19.71,125.36,7.11,2375.0,2405.0,143.0,5.22,5.67
